18890,91,351,5,73,1
18891,91,352,5,70,1
18892,91,353,9,95,1
18893,91,354,2,34,1
18894,91,355,5,65,1
18895,91,356,1,15,1
18896,91,357,4,60,1
18897,91,358,2,28,1
18898,91,359,6,82,1
18899,91,360,3,40,1
18900,91,361,2,22,1
18901,91,362,2,26,1
18902,91,363,1,1,1
18903,91,364,5,69,1
18904,91,365,3,41,1
18905,91,366,4,57,1
18906,91,367,5,67,1
18907,91,368,1,5,1
18908,91,369,4,58,1
18909,91,370,3,40,1
18910,91,371,9,96,1
18911,91,372,2,30,1
18912,91,373,5,66,1
18913,91,374,8,90,1
18914,91,375,1,9,1
18915,91,376,4,57,1
18916,91,377,1,10,1
18917,91,378,2,24,1
18918,91,379,8,93,1
18919,91,380,1,2,1
18920,91,381,4,61,1
18921,91,382,8,91,1
18922,91,383,2,25,1
18923,91,384,1,8,1
18924,91,385,5,71,1
18925,91,386,3,35,1
18926,91,387,3,37,1
18927,91,388,3,38,1
18928,91,389,1,4,1
18929,91,390,2,32,1
18930,91,391,5,72,1
18931,91,391,5,74,2
18932,91,392,1,4,1
18933,91,393,9,96,1
18934,91,394,3,38,1
18935,91,395,4,57,1
18936,91,396,3,40,1
18937,91,397,2,32,1
18938,91,398,4,63,1
18939,91,399,5,69,1
18940,91,400,1,16,1
18941,92,351,3,47,1
18942,92,352,3,44,1
18943,92,353,1,19,1
18944,92,354,6,82,1
18945,92,355,4,61,1
18946,92,356,6,75,1
18947,92,357,3,41,1
18948,92,358,5,70,1
18949,92,359,1,8,1
18950,92,360,1,7,1
18951,92,361,1,4,1
18952,92,362,5,66,1
18953,92,363,1,3,1
18954,92,364,6,81,1
18955,92,364,1,15,2
18956,92,365,5,66,1
18957,92,366,4,58,1
18958,92,367,4,55,1
18959,92,368,3,37,1
18960,92,369,4,58,1
18961,92,370,3,47,1
18962,92,371,1,5,1
18963,92,372,7,86,1
18964,92,373,3,36,1
18965,92,374,5,73,1
18966,92,375,7,88,1
18967,92,376,2,20,1
18968,92,377,4,63,1
18969,92,378,7,85,1
18970,92,379,2,24,1
18971,92,380,8,89,1
18972,92,381,1,14,1
18973,92,382,2,24,1
18974,92,383,9,95,1
18975,92,384,4,54,1
18976,92,385,6,80,1
18977,92,386,3,47,1
18978,92,386,2,21,2
18979,92,387,10,99,1
18980,92,388,1,7,1
18981,92,389,5,72,1
18982,92,390,3,41,1
18983,92,391,1,9,1
18984,92,392,6,82,1
18985,92,393,3,45,1
18986,92,394,8,92,1
18987,92,395,3,48,1
18988,92,396,3,42,1
18989,92,397,1,3,1
18990,92,398,8,93,1
18991,92,399,4,64,1
18992,92,400,8,92,1
18993,93,351,1,14,1
18994,93,352,2,31,1
18995,93,353,6,82,1
18996,93,354,4,59,1
18997,93,355,3,49,1
18998,93,356,4,52,1
18999,93,357,2,27,1
19000,93,358,3,44,1
19001,93,359,8,92,1
19002,93,360,5,74,1
19003,93,361,5,68,1
19004,93,362,1,7,1
19005,93,363,4,56,1
19006,93,364,4,52,1
19007,93,365,3,49,1
19008,93,366,2,27,1
19009,93,367,6,78,1
19010,93,368,5,73,1
19011,93,369,3,42,1
19012,93,370,1,9,1
19013,93,371,10,98,1
19014,93,372,2,25,1
19015,93,373,3,44,1
19016,93,374,7,86,1
19017,93,375,7,83,1
19018,93,376,5,70,1
19019,93,377,6,82,1
19020,93,378,4,62,1
19021,93,379,6,75,1
19022,93,380,6,75,1
19023,93,381,4,60,1
19024,93,382,4,53,1
19025,93,383,3,46,1
19026,93,384,6,81,1
19027,93,385,1,5,1
19028,93,386,4,63,1
19029,93,387,4,60,1
19030,93,388,5,66,1
19031,93,389,6,75,1
19032,93,389,6,75,2
19033,93,390,1,13,1
19034,93,391,5,74,1
19035,93,392,1,1,1
19036,93,393,2,26,1
19037,93,394,2,29,1
19038,93,395,7,88,1
19039,93,396,4,51,1
19040,93,397,5,67,1
19041,93,398,6,81,1
19042,93,399,3,43,1
19043,93,400,2,34,1
19044,94,351,6,75,1
19045,94,352,5,67,1
19046,94,353,7,88,1
19047,94,354,1,9,1
19048,94,355,3,46,1
19049,94,356,3,43,1
19050,94,357,3,38,1
19051,94,358,8,92,1
19052,94,359,5,71,1
19053,94,360,7,86,1
19054,94,361,4,56,1
19055,94,362,10,98,1
19056,94,363,5,73,1
19057,94,364,7,83,1
19058,94,365,4,51,1
19059,94,366,6,78,1
19060,94,367,1,9,1
19061,94,368,2,25,1
19062,94,369,5,74,1
19063,94,370,2,33,1
19064,94,371,2,27,1
19065,94,372,3,43,1
19066,94,373,5,73,1
19067,94,374,6,77,1
19068,94,375,5,71,1
19069,94,376,5,72,1
19070,94,376,3,44,2
19071,94,377,1,9,1
19072,94,378,2,21,1
