1,151,8,90,1
1,152,1,13,1
1,153,7,86,1
1,154,5,73,1
1,155,6,80,1
1,156,4,50,1
1,157,3,45,1
1,158,8,91,1
1,159,5,73,1
1,160,2,31,1
1,161,1,1,1
1,162,1,8,1
1,163,1,5,1
1,164,1,17,1
1,165,1,3,1
1,165,4,63,2
1,166,9,95,1
1,167,3,42,1
1,168,4,57,1
1,169,10,98,1
1,170,4,63,1
1,171,6,79,1
1,172,6,82,1
1,173,7,85,1
1,174,1,17,1
1,175,1,11,1
1,176,3,40,1
1,177,4,63,1
1,178,1,1,1
1,179,8,91,1
1,180,1,11,1
1,181,5,65,1
1,182,4,58,1
1,183,5,67,1
1,184,3,40,1
1,185,4,53,1
1,186,3,35,1
1,187,6,79,1
1,188,4,64,1
1,189,2,31,1
1,190,8,90,1
1,191,4,60,1
1,192,1,11,1
1,193,4,57,1
1,194,4,58,1
1,195,4,57,1
1,196,4,52,1
1,197,3,46,1
1,198,8,90,1
1,199,6,80,1
1,200,2,29,1
2,151,2,28,1
2,152,5,71,1
2,153,3,41,1
2,154,3,39,1
2,155,9,96,1
2,156,3,41,1
2,157,2,26,1
2,157,2,20,2
2,158,1,3,1
2,159,3,46,1
2,160,8,93,1
2,161,2,24,1
2,162,7,88,1
2,163,3,49,1
2,164,10,98,1
2,165,3,39,1
2,166,3,45,1
2,167,1,15,1
2,168,5,70,1
2,169,3,43,1
2,169,7,86,2
2,170,1,14,1
2,171,3,43,1
2,172,1,14,1
2,173,3,38,1
2,174,1,15,1
2,175,1,5,1
2,176,7,86,1
2,177,2,25,1
2,178,4,63,1
2,179,7,87,1
2,180,3,48,1
2,181,2,32,1
2,182,1,1,1
2,183,3,43,1
2,184,1,7,1
2,185,3,49,1
2,186,7,83,1
2,187,6,77,1
2,188,2,29,1
2,189,4,57,1
2,190,3,49,1
2,191,2,20,1
2,192,6,76,1
2,193,1,13,1
2,194,8,90,1
2,195,5,74,1
2,196,6,75,1
2,197,9,94,1
2,197,3,37,2
2,198,6,75,1
2,199,6,82,1
