361,Monday,9:00,10:00,2021/2022,4,20
362,Monday,10:00,11:00,2021/2022,4,20
363,Monday,11:00,12:00,2021/2022,4,20
364,Monday,12:00,13:00,2021/2022,4,19
365,Monday,13:00,14:00,2021/2022,4,19
366,Monday,14:00,15:00,2021/2022,4,19
367,Tuesday,9:00,10:00,2021/2022,4,18
368,Tuesday,10:00,11:00,2021/2022,4,18
369,Tuesday,11:00,12:00,2021/2022,4,18
370,Tuesday,12:00,13:00,2021/2022,4,17
371,Tuesday,13:00,14:00,2021/2022,4,17
372,Tuesday,14:00,15:00,2021/2022,4,17
373,Wednesday,9:00,10:00,2021/2022,4,16
374,Wednesday,10:00,11:00,2021/2022,4,16
375,Wednesday,11:00,12:00,2021/2022,4,16
376,Wednesday,12:00,13:00,2021/2022,4,20
377,Wednesday,13:00,14:00,2021/2022,4,20
378,Wednesday,14:00,15:00,2021/2022,4,20
379,Thursday,9:00,10:00,2021/2022,4,19
380,Thursday,10:00,11:00,2021/2022,4,19
381,Thursday,11:00,12:00,2021/2022,4,19
382,Thursday,12:00,13:00,2021/2022,4,18
383,Thursday,13:00,14:00,2021/2022,4,18
384,Thursday,14:00,15:00,2021/2022,4,18
385,Friday,9:00,10:00,2021/2022,4,17
386,Friday,10:00,11:00,2021/2022,4,17
387,Friday,11:00,12:00,2021/2022,4,17
388,Friday,12:00,13:00,2021/2022,4,16
389,Friday,13:00,14:00,2021/2022,4,16
390,Friday,14:00,15:00,2021/2022,4,16
391,Monday,9:00,10:00,2021/2022,5,19
392,Monday,10:00,11:00,2021/2022,5,19
393,Monday,11:00,12:00,2021/2022,5,19
394,Monday,12:00,13:00,2021/2022,5,18
395,Monday,13:00,14:00,2021/2022,5,18
396,Monday,14:00,15:00,2021/2022,5,18
397,Tuesday,9:00,10:00,2021/2022,5,17
398,Tuesday,10:00,11:00,2021/2022,5,17
399,Tuesday,11:00,12:00,2021/2022,5,17
400,Tuesday,12:00,13:00,2021/2022,5,16
401,Tuesday,13:00,14:00,2021/2022,5,16
402,Tuesday,14:00,15:00,2021/2022,5,16
403,Wednesday,9:00,10:00,2021/2022,5,20
404,Wednesday,10:00,11:00,2021/2022,5,20
405,Wednesday,11:00,12:00,2021/2022,5,20
406,Wednesday,12:00,13:00,2021/2022,5,19
407,Wednesday,13:00,14:00,2021/2022,5,19
408,Wednesday,14:00,15:00,2021/2022,5,19
409,Thursday,9:00,10:00,2021/2022,5,18
410,Thursday,10:00,11:00,2021/2022,5,18
411,Thursday,11:00,12:00,2021/2022,5,18
412,Thursday,12:00,13:00,2021/2022,5,17
413,Thursday,13:00,14:00,2021/2022,5,17
414,Thursday,14:00,15:00,2021/2022,5,17
415,Friday,9:00,10:00,2021/2022,5,16
416,Friday,10:00,11:00,2021/2022,5,16
417,Friday,11:00,12:00,2021/2022,5,16
418,Friday,12:00,13:00,2021/2022,5,20
419,Friday,13:00,14:00,2021/2022,5,20
420,Friday,14:00,15:00,2021/2022,5,20
421,Monday,9:00,10:00,2021/2022,6,18
422,Monday,10:00,11:00,2021/2022,6,18
423,Monday,11:00,12:00,2021/2022,6,18
424,Monday,12:00,13:00,2021/2022,6,17
425,Monday,13:00,14:00,2021/2022,6,17
426,Monday,14:00,15:00,2021/2022,6,17
427,Tuesday,9:00,10:00,2021/2022,6,16
428,Tuesday,10:00,11:00,2021/2022,6,16
429,Tuesday,11:00,12:00,2021/2022,6,16
430,Tuesday,12:00,13:00,2021/2022,6,20
431,Tuesday,13:00,14:00,2021/2022,6,20
432,Tuesday,14:00,15:00,2021/2022,6,20
433,Wednesday,9:00,10:00,2021/2022,6,19
434,Wednesday,10:00,11:00,2021/2022,6,19
435,Wednesday,11:00,12:00,2021/2022,6,19
436,Wednesday,12:00,13:00,2021/2022,6,18
437,Wednesday,13:00,14:00,2021/2022,6,18
438,Wednesday,14:00,15:00,2021/2022,6,18
439,Thursday,9:00,10:00,2021/2022,6,17
440,Thursday,10:00,11:00,2021/2022,6,17
441,Thursday,11:00,12:00,2021/2022,6,17
442,Thursday,12:00,13:00,2021/2022,6,16
443,Thursday,13:00,14:00,2021/2022,6,16
444,Thursday,14:00,15:00,2021/2022,6,16
445,Friday,9:00,10:00,2021/2022,6,20
446,Friday,10:00,11:00,2021/2022,6,20
447,Friday,11:00,12:00,2021/2022,6,20
448,Friday,12:00,13:00,2021/2022,6,19
449,Friday,13:00,14:00,2021/2022,6,19
450,Friday,14:00,15:00,2021/2022,6,19
451,Monday,9:00,10:00,2021/2022,7,15
452,Monday,10:00,11:00,2021/2022,7,15
453,Monday,11:00,12:00,2021/2022,7,15
454,Monday,12:00,13:00,2021/2022,7,14
455,Monday,13:00,14:00,2021/2022,7,14
456,Monday,14:00,15:00,2021/2022,7,14
457,Tuesday,9:00,10:00,2021/2022,7,13
458,Tuesday,10:00,11:00,2021/2022,7,13
459,Tuesday,11:00,12:00,2021/2022,7,13
460,Tuesday,12:00,13:00,2021/2022,7,12
461,Tuesday,13:00,14:00,2021/2022,7,12
462,Tuesday,14:00,15:00,2021/2022,7,12
463,Wednesday,9:00,10:00,2021/2022,7,11
464,Wednesday,10:00,11:00,2021/2022,7,11
465,Wednesday,11:00,12:00,2021/2022,7,11
466,Wednesday,12:00,13:00,2021/2022,7,15
467,Wednesday,13:00,14:00,2021/2022,7,15
468,Wednesday,14:00,15:00,2021/2022,7,15
469,Thursday,9:00,10:00,2021/2022,7,14
470,Thursday,10:00,11:00,2021/2022,7,14
471,Thursday,11:00,12:00,2021/2022,7,14
472,Thursday,12:00,13:00,2021/2022,7,13
473,Thursday,13:00,14:00,2021/2022,7,13
474,Thursday,14:00,15:00,2021/2022,7,13
475,Friday,9:00,10:00,2021/2022,7,12
476,Friday,10:00,11:00,2021/2022,7,12
477,Friday,11:00,12:00,2021/2022,7,12
478,Friday,12:00,13:00,2021/2022,7,11
479,Friday,13:00,14:00,2021/2022,7,11
480,Friday,14:00,15:00,2021/2022,7,11
481,Monday,9:00,10:00,2021/2022,8,14
482,Monday,10:00,11:00,2021/2022,8,14
483,Monday,11:00,12:00,2021/2022,8,14
484,Monday,12:00,13:00,2021/2022,8,13
485,Monday,13:00,14:00,2021/2022,8,13
486,Monday,14:00,15:00,2021/2022,8,13
487,Tuesday,9:00,10:00,2021/2022,8,12
488,Tuesday,10:00,11:00,2021/2022,8,12
489,Tuesday,11:00,12:00,2021/2022,8,12
490,Tuesday,12:00,13:00,2021/2022,8,11
491,Tuesday,13:00,14:00,2021/2022,8,11
492,Tuesday,14:00,15:00,2021/2022,8,11
493,Wednesday,9:00,10:00,2021/2022,8,15
494,Wednesday,10:00,11:00,2021/2022,8,15
495,Wednesday,11:00,12:00,2021/2022,8,15
496,Wednesday,12:00,13:00,2021/2022,8,14
497,Wednesday,13:00,14:00,2021/2022,8,14
498,Wednesday,14:00,15:00,2021/2022,8,14
499,Thursday,9:00,10:00,2021/2022,8,13
500,Thursday,10:00,11:00,2021/2022,8,13
501,Thursday,11:00,12:00,2021/2022,8,13
502,Thursday,12:00,13:00,2021/2022,8,12
503,Thursday,13:00,14:00,2021/2022,8,12
504,Thursday,14:00,15:00,2021/2022,8,12
505,Friday,9:00,10:00,2021/2022,8,11
506,Friday,10:00,11:00,2021/2022,8,11
507,Friday,11:00,12:00,2021/2022,8,11
508,Friday,12:00,13:00,2021/2022,8,15
509,Friday,13:00,14:00,2021/2022,8,15
510,Friday,14:00,15:00,2021/2022,8,15
511,Monday,9:00,10:00,2021/2022,9,13
512,Monday,10:00,11:00,2021/2022,9,13
513,Monday,11:00,12:00,2021/2022,9,13
514,Monday,12:00,13:00,2021/2022,9,12
515,Monday,13:00,14:00,2021/2022,9,12
516,Monday,14:00,15:00,2021/2022,9,12
517,Tuesday,9:00,10:00,2021/2022,9,11
518,Tuesday,10:00,11:00,2021/2022,9,11
519,Tuesday,11:00,12:00,2021/2022,9,11
520,Tuesday,12:00,13:00,2021/2022,9,15
521,Tuesday,13:00,14:00,2021/2022,9,15
522,Tuesday,14:00,15:00,2021/2022,9,15
523,Wednesday,9:00,10:00,2021/2022,9,14
524,Wednesday,10:00,11:00,2021/2022,9,14
525,Wednesday,11:00,12:00,2021/2022,9,14
526,Wednesday,12:00,13:00,2021/2022,9,13
527,Wednesday,13:00,14:00,2021/2022,9,13
528,Wednesday,14:00,15:00,2021/2022,9,13
529,Thursday,9:00,10:00,2021/2022,9,12
530,Thursday,10:00,11:00,2021/2022,9,12
531,Thursday,11:00,12:00,2021/2022,9,12
532,Thursday,12:00,13:00,2021/2022,9,11
533,Thursday,13:00,14:00,2021/2022,9,11
534,Thursday,14:00,15:00,2021/2022,9,11
535,Friday,9:00,10:00,2021/2022,9,15
536,Friday,10:00,11:00,2021/2022,9,15
537,Friday,11:00,12:00,2021/2022,9,15
538,Friday,12:00,13:00,2021/2022,9,14
539,Friday,13:00,14:00,2021/2022,9,14
540,Friday,14:00,15:00,2021/2022,9,14
541,Monday,9:00,10:00,2021/2022,10,10
542,Monday,10:00,11:00,2021/2022,10,10
543,Monday,11:00,12:00,2021/2022,10,10
